company_id,company_name,slug,website,source_primary,source_url,hq_city,hq_state,nyc_presence,yc_batch,batch_year,industry_tags,subindustry,ai_category,estimated_stage,team_size_text,hiring_status,one_liner,all_locations,collected_at,notes
yc-27925,222,222,https://222.place,yc_oss_api,https://www.ycombinator.com/companies/222,New York,NY,hq_nyc,Winter 2023,2023,Artificial Intelligence|Machine Learning|Marketplace|Consumer|Social,Consumer,core_ai,seed,16,hiring,the AI social facilitator for offline human to human interactions,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-22579,Abacum,abacum,https://www.abacum.ai/,yc_oss_api,https://www.ycombinator.com/companies/abacum,New York,NY,hq_nyc,Winter 2021,2021,FinOps|SaaS,B2B -> Finance and Accounting,fintech_ai,series_a_plus,125,hiring,The AI-native FP&A platform that helps Finance teams drive business…,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-25696,Agency,agency,https://GetAgency.com,yc_oss_api,https://www.ycombinator.com/companies/agency,New York,NY,hq_nyc,Winter 2022,2022,SaaS|B2B|Compliance|Security|Enterprise,B2B -> Security,ai_enabled_vertical_saas,seed,50,hiring,Agency replaces traditional security and compliance headcount with AI.,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-22834,Alinea,alinea,https://alinea-invest.com/,yc_oss_api,https://www.ycombinator.com/companies/alinea,New York,NY,hq_nyc,Winter 2021,2021,Artificial Intelligence|Education|Fintech|Social,Fintech -> Consumer Finance,fintech_ai,series_a_plus,12,hiring,Automated investing for the next generation 💸,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-30362,Ambral,ambral,https://www.ambral.com/,yc_oss_api,https://www.ycombinator.com/companies/ambral,New York,NY,hq_nyc,Summer 2025,2025,,B2B -> Sales,ai_enabled_vertical_saas,seed,3,hiring,AI for account management and customer success,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-24194,Aqua,aqua,https://www.investwithaqua.com,yc_oss_api,https://www.ycombinator.com/companies/aqua,New York,NY,hq_nyc,Summer 2021,2021,Fintech|Finance|Investing|Investments,Fintech,fintech_ai,seed,34,hiring,The AI-Native Turnkey Alternative Investment Platform (TAIP),"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30354,Artifact,artifact-2,https://www.artifact.engineer/,yc_oss_api,https://www.ycombinator.com/companies/artifact-2,New York,NY,hq_nyc,Winter 2025,2025,,"B2B -> Engineering, Product and Design",ai_enabled_vertical_saas,seed,3,hiring,"An Collaborative, AI-native IDE for Hardware Engineers","New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29973,Arva AI,arva-ai,https://www.arva.ai,yc_oss_api,https://www.ycombinator.com/companies/arva-ai,New York,NY,hq_nyc,Summer 2024,2024,Artificial Intelligence|Fintech|B2B|Compliance|Regtech,B2B,fintech_ai,seed,20,hiring,"AI Agents to scale AML, KYB and KYC operations","New York, NY, USA",2026-07-08T02:41:54Z,
yc-30131,Asha Health,asha-health,https://asha.health,yc_oss_api,https://www.ycombinator.com/companies/asha-health,New York,NY,hq_nyc,Fall 2024,2024,,Healthcare,health_ai,seed,9,hiring,We help medical practices become AI-native,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-1736,Assembly,assembly-com,https://www.assembly.com,yc_oss_api,https://www.ycombinator.com/companies/assembly-com,New York,NY,hq_nyc,Winter 2018,2018,B2B|E-commerce|AI|AI Assistant,B2B -> Productivity,ai_enabled_vertical_saas,seed,25,hiring,Create remarkable client experiences,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-1687,AssemblyAI,assemblyai,https://www.assemblyai.com,yc_oss_api,https://www.ycombinator.com/companies/assemblyai,New York,NY,hq_nyc,Summer 2017,2017,Artificial Intelligence|Developer Tools|Speech Recognition|API|AI,B2B -> Infrastructure,devtools_ai,series_a_plus,65,hiring,The best way to build Voice AI apps,"New York City, NY, USA; Remote",2026-07-08T02:41:54Z,
yc-30336,Atlog,atlog,https://atlog.ai,yc_oss_api,https://www.ycombinator.com/companies/atlog,New York,NY,hq_nyc,Spring 2025,2025,,B2B -> Operations,ai_enabled_vertical_saas,seed,2,hiring,Voice AI That Won't Get You Sued,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-25075,Attack Capital,attack-capital,https://attack.capital/,yc_oss_api,https://www.ycombinator.com/companies/attack-capital,New York,NY,hq_nyc,Winter 2022,2022,AI,B2B,core_ai,seed,5,hiring,Access the start-up asset class with vetted private companies,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30425,Auctor,auctor,https://getauctor.com,yc_oss_api,https://www.ycombinator.com/companies/auctor,New York,NY,hq_nyc,Spring 2025,2025,Generative AI|SaaS|Productivity,B2B,core_ai,seed,30,hiring,The agentic operating system for modern system integrators.,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-22632,authzed,authzed,https://authzed.com,yc_oss_api,https://www.ycombinator.com/companies/authzed,New York,NY,hq_nyc,Winter 2021,2021,Artificial Intelligence|Developer Tools|Security|Open Source|Data Engineering,"B2B -> Engineering, Product and Design",devtools_ai,series_a_plus,31,hiring,"Authorization Infrastructure securing AI at OpenAI, Zoom, & more","New York, NY, USA; Remote",2026-07-08T02:41:54Z,
yc-30591,Autonomous Technologies Group,autonomous-technologies-group,https://becomeautonomous.com/,yc_oss_api,https://www.ycombinator.com/companies/autonomous-technologies-group,New York,NY,hq_nyc,Fall 2025,2025,Artificial Intelligence|Consumer Finance,Fintech,fintech_ai,seed,8,hiring,Superintelligent financial advisor,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30415,Avallon AI,avallon-ai,https://www.avallon.ai/,yc_oss_api,https://www.ycombinator.com/companies/avallon-ai,New York,NY,hq_nyc,Spring 2025,2025,,Fintech -> Insurance,fintech_ai,seed,7,hiring,AI agents for insurance claims operations,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-27655,Avoca,avoca,https://www.avoca.ai/,yc_oss_api,https://www.ycombinator.com/companies/avoca,New York,NY,hq_nyc,Winter 2023,2023,,B2B,ai_enabled_vertical_saas,series_a_plus,85,hiring,AI-powered Sales Agent for Service-Based Industries,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-27250,Axle,axle,https://axle.insure,yc_oss_api,https://www.ycombinator.com/companies/axle,New York,NY,hq_nyc,Summer 2022,2022,Developer Tools|Fintech|B2B|Insurance|AI,Fintech,fintech_ai,seed,10,hiring,AI-native clearinghouse for insurance,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29636,Bayesline,bayesline,https://bayesline.com,yc_oss_api,https://www.ycombinator.com/companies/bayesline,New York,NY,hq_nyc,Summer 2024,2024,Fintech|Finance|B2B|Analytics|AI,Fintech -> Asset Management,fintech_ai,seed,3,hiring,Highly customizable and blazingly fast analytics for asset managers.,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-25575,Beam,beam,https://beam.cloud,yc_oss_api,https://www.ycombinator.com/companies/beam,New York,NY,hq_nyc,Winter 2022,2022,Artificial Intelligence|Developer Tools|Open Source|Cloud Computing,B2B -> Infrastructure,devtools_ai,seed,5,hiring,AI-Native Cloud Platform,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-26778,Blee,blee,https://www.blee.com,yc_oss_api,https://www.ycombinator.com/companies/blee,New York,NY,hq_nyc,Summer 2022,2022,Fintech|LegalTech|AI,Fintech,fintech_ai,series_a_plus,15,hiring,"Smart, fast, and collaborative compliance reviews ","New York, NY, USA",2026-07-08T02:41:54Z,
yc-21784,Blue Onion,blue-onion,https://www.blueonion.ai/,yc_oss_api,https://www.ycombinator.com/companies/blue-onion,New York,NY,hq_nyc,Summer 2020,2020,Artificial Intelligence|Machine Learning|Finance,B2B -> Finance and Accounting,fintech_ai,series_a_plus,27,hiring,Financial data layer for AI-powered finance and accounting,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-24065,BoldVoice,boldvoice,https://boldvoice.com,yc_oss_api,https://www.ycombinator.com/companies/boldvoice,New York,NY,hq_nyc,Summer 2021,2021,Education|Speech Recognition,Consumer,ai_enabled_vertical_saas,seed,12,hiring,Speech and accent coaching app for non-native English speakers,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30030,Candle,candle,https://www.trycandle.app/,yc_oss_api,https://www.ycombinator.com/companies/candle,New York,NY,hq_nyc,Fall 2024,2024,Artificial Intelligence|Consumer|AI,Consumer,core_ai,seed,2,hiring,Candle helps friends and couples grow closer daily in just 5 minutes.,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-26794,Capix,capix,http://capix.ai/,yc_oss_api,https://www.ycombinator.com/companies/capix,New York,NY,hq_nyc,Summer 2022,2022,Fintech|Finance|Sales Enablement,Fintech,fintech_ai,seed,5,hiring,AI-powered private equity intelligence.,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-28886,Cardinal Gray,cardinal-gray,https://www.cardinalgray.com/,yc_oss_api,https://www.ycombinator.com/companies/cardinal-gray,New York,NY,hq_nyc,Summer 2023,2023,Enterprise Software|Consumer Finance|Automation|AI|Automotive,Fintech -> Credit and Lending,fintech_ai,seed,6,hiring,Automating lenders' interactions with the DMV,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30666,CareSwift,careswift,https://www.careswift.com/,yc_oss_api,https://www.ycombinator.com/companies/careswift,New York,NY,hq_nyc,Summer 2025,2025,,Healthcare,health_ai,seed,2,hiring,AI scribe for Ambulance Reports,"New York City, NY, USA",2026-07-08T02:41:54Z,
